url_length,count_digits,has_at,has_https,count_dots,has_hyphen,has_ip,count_special_chars,count_slash,path_length,count_subdomains,has_suspicious_words,url_entropy,digit_ratio,has_port,tld_length,is_shortened_url,label
27.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.8380398168981547,0.07407407407407407,0.0,2.0,0.0,0
15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.640223928941852,0.0,0.0,3.0,0.0,0
21.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.8208888513501886,0.0,0.0,2.0,0.0,0
20.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.521928094887363,0.0,0.0,3.0,0.0,0
29.0,16.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.6764409086968683,0.5517241379310345,1.0,9.0,0.0,1
26.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.690260390968384,0.5,1.0,7.0,0.0,1
19.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.5766176449086657,0.0,0.0,2.0,0.0,0
15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.640223928941852,0.0,0.0,2.0,0.0,0
24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.970175521464345,0.0,0.0,3.0,0.0,0
34.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,4.116299605701696,0.11764705882352941,0.0,2.0,0.0,1
24.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,3.7720552088742005,0.4583333333333333,0.0,2.0,0.0,1
19.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.5368867237421675,0.0,0.0,3.0,0.0,0
35.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,4.286146588249911,0.14285714285714285,0.0,2.0,0.0,1
35.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,13.0,2.0,0.0,4.250571945454581,0.3142857142857143,0.0,3.0,0.0,1
19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6818808028034025,0.0,0.0,2.0,0.0,0
29.0,16.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.7362801326109922,0.5517241379310345,1.0,9.0,0.0,1
27.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.736006946447656,0.5185185185185185,1.0,9.0,0.0,1
